window_id,train_start,train_end,test_start,test_end,return,max_drawdown,win_rate,avg_r,trade_count,sharpe_proxy
1,2025-09-02,2025-09-08,2025-09-09,2025-09-11,0.0,0.0,0.0,0.0,0,0.0
2,2025-09-05,2025-09-11,2025-09-12,2025-09-16,0.0,0.0,0.0,0.0,0,0.0
3,2025-09-10,2025-09-16,2025-09-17,2025-09-19,0.0,0.0,0.0,0.0,0,0.0
4,2025-09-15,2025-09-19,2025-09-22,2025-09-24,0.0,0.0,0.0,0.0,0,0.0
5,2025-09-18,2025-09-24,2025-09-25,2025-09-29,0.0,0.0,0.0,0.0,0,0.0
6,2025-09-23,2025-09-29,2025-09-30,2025-10-03,0.0,0.0,0.0,0.0,0,0.0
7,2025-09-26,2025-10-03,2025-10-06,2025-10-08,0.0,0.0,0.0,0.0,0,0.0
8,2025-10-01,2025-10-08,2025-10-09,2025-10-13,0.0,0.0,0.0,0.0,0,0.0
9,2025-10-07,2025-10-13,2025-10-14,2025-10-16,0.0,0.0,0.0,0.0,0,0.0
10,2025-10-10,2025-10-16,2025-10-17,2025-10-21,0.0,0.0,0.0,0.0,0,0.0
11,2025-10-15,2025-10-21,2025-10-23,2025-10-27,0.0,0.0,0.0,0.0,0,0.0
12,2025-10-20,2025-10-27,2025-10-28,2025-10-30,0.0,0.0,0.0,0.0,0,0.0
13,2025-10-24,2025-10-30,2025-10-31,2025-11-04,0.0,0.0,0.0,0.0,0,0.0
14,2025-10-29,2025-11-04,2025-11-06,2025-11-10,0.0,0.0,0.0,0.0,0,0.0
15,2025-11-03,2025-11-10,2025-11-11,2025-11-13,0.0,0.0,0.0,0.0,0,0.0
16,2025-11-07,2025-11-13,2025-11-14,2025-11-18,0.0,0.0,0.0,0.0,0,0.0
17,2025-11-12,2025-11-18,2025-11-19,2025-11-21,0.0,0.0,0.0,0.0,0,0.0
18,2025-11-17,2025-11-21,2025-11-24,2025-11-26,0.0,0.0,0.0,0.0,0,0.0
19,2025-11-20,2025-11-26,2025-11-27,2025-12-01,0.0,0.0,0.0,0.0,0,0.0
20,2025-11-25,2025-12-01,2025-12-02,2025-12-04,0.0,0.0,0.0,0.0,0,0.0
21,2025-11-28,2025-12-04,2025-12-05,2025-12-09,0.0,0.0,0.0,0.0,0,0.0
22,2025-12-03,2025-12-09,2025-12-10,2025-12-12,0.0,0.0,0.0,0.0,0,0.0
23,2025-12-08,2025-12-12,2025-12-15,2025-12-17,0.0,0.0,0.0,0.0,0,0.0
24,2025-12-11,2025-12-17,2025-12-18,2025-12-22,0.0,0.0,0.0,0.0,0,0.0
25,2025-12-16,2025-12-22,2025-12-23,2025-12-26,0.0,0.0,0.0,0.0,0,0.0
26,2025-12-19,2025-12-26,2025-12-29,2025-12-31,0.0,0.0,0.0,0.0,0,0.0
27,2025-12-24,2025-12-31,2026-01-01,2026-01-05,0.0,0.0,0.0,0.0,0,0.0
28,2025-12-30,2026-01-05,2026-01-06,2026-01-08,0.0,0.0,0.0,0.0,0,0.0
29,2026-01-02,2026-01-08,2026-01-09,2026-01-13,0.0,0.0,0.0,0.0,0,0.0
30,2026-01-07,2026-01-13,2026-01-14,2026-01-19,0.0,0.0,0.0,0.0,0,0.0
31,2026-01-12,2026-01-19,2026-01-20,2026-01-22,0.0,0.0,0.0,0.0,0,0.0
32,2026-01-16,2026-01-22,2026-01-23,2026-01-28,0.0,0.0,0.0,0.0,0,0.0
